areacode,districtcode,city_geocode,city,district_geocode,district,lon,lat,sta_fc,sta_rt,province,fc_lon,fc_lat,rt_lon,rt_lat,origin_areacode,exclude
101300112,450107,450100,南宁市,450107,西乡塘,108.306903,22.832779,59431,59431,广西壮族自治区,108.55,22.7833,108.55,22.7833,101300112,0
101300113,450108,450100,南宁市,450108,良庆,108.322102,22.75909,59435,59435,广西壮族自治区,108.45,22.6833,108.45,22.6833,101300113,0
101300103,450109,450100,南宁市,450109,邕宁,108.484251,22.756598,59435,59435,广西壮族自治区,108.45,22.6833,108.45,22.6833,101300103,0
101300108,450110,450100,南宁市,450110,武鸣,108.280717,23.157163,59237,59237,广西壮族自治区,108.3,23.1833,108.3,23.1833,101300108,0
101300105,450123,450100,南宁市,450123,隆安,107.688661,23.174763,59229,59229,广西壮族自治区,107.7,23.1667,107.7,23.1667,101300105,0
101300106,450124,450100,南宁市,450124,马山,108.172903,23.711758,59230,59230,广西壮族自治区,108.1167,23.7167,108.1167,23.7167,101300106,0
101300107,450125,450100,南宁市,450125,上林,108.603937,23.431769,59235,59235,广西壮族自治区,108.6167,23.4333,108.6167,23.4333,101300107,0
101300109,450126,450100,南宁市,450126,宾阳,108.816735,23.216884,59238,59238,广西壮族自治区,108.8333,23.25,108.8333,23.25,101300109,0
101300104,450127,450100,南宁市,450127,横县,109.270987,22.68743,59441,59441,广西壮族自治区,109.25,22.8,109.25,22.8,101300104,0
101300301,450200,450200,柳州市,450200,柳州,109.411703,24.314617,59046,59046,广西壮族自治区,109.4667,24.3667,109.4667,24.3667,101300301,1
101300303,450202,450200,柳州市,450202,城中区,109.411749,24.312324,59046,59046,广西壮族自治区,109.4667,24.3667,109.4667,24.3667,101300303,0
101300309,450203,450200,柳州市,450203,鱼峰,109.415364,24.303848,59046,59046,广西壮族自治区,109.4667,24.3667,109.4667,24.3667,101300309,0
101300310,450204,450200,柳州市,450204,柳南,109.395936,24.287013,59046,59046,广西壮族自治区,109.4667,24.3667,109.4667,24.3667,101300310,0
101300311,450205,450200,柳州市,450205,柳北,109.406577,24.359145,59046,59046,广西壮族自治区,109.4667,24.3667,109.4667,24.3667,101300311,0
101300305,450206,450200,柳州市,450206,柳江,109.334503,24.257512,59047,59047,广西壮族自治区,109.2833,24.2333,109.2833,24.2333,101300305,0
101300302,450222,450200,柳州市,450222,柳城,109.245812,24.655121,59041,59041,广西壮族自治区,109.25,24.65,109.25,24.65,101300302,0
101300304,450223,450200,柳州市,450223,鹿寨,109.740805,24.483405,59045,59045,广西壮族自治区,109.7833,24.5,109.7833,24.5,101300304,0
101300306,450224,450200,柳州市,450224,融安,109.403621,25.214703,57947,57947,广西壮族自治区,109.4,25.2333,109.4,25.2333,101300306,0
101300307,450225,450200,柳州市,450225,融水,109.252744,25.068812,57948,57948,广西壮族自治区,109.25,25.1167,109.25,25.1167,101300307,0
101300308,450226,450200,柳州市,450226,三江,109.614846,25.78553,57941,57941,广西壮族自治区,109.6,25.7833,109.6,25.7833,101300308,0
101300501,450300,450300,桂林市,450300,桂林,110.299121,25.274215,57957,57957,广西壮族自治区,110.3,25.3167,110.3,25.3167,101300501,1
101300502,450302,450300,桂林市,450302,秀峰,110.292445,25.278544,57956,57956,广西壮族自治区,110.3167,25.4167,110.3167,25.4167,101300502,0
101300515,450303,450300,桂林市,450303,叠彩,110.300783,25.301334,57955,57955,广西壮族自治区,110.6667,25.6167,110.6667,25.6167,101300515,0
101300516,450304,450300,桂林市,450304,象山区,110.284882,25.261986,57956,57956,广西壮族自治区,110.3167,25.4167,110.3167,25.4167,101300516,0
101300517,450305,450300,桂林市,450305,七星,110.317577,25.254339,57956,57956,广西壮族自治区,110.3167,25.4167,110.3167,25.4167,101300517,0
101300518,450311,450300,桂林市,450311,雁山,110.305667,25.077646,57957,57957,广西壮族自治区,110.3,25.3167,110.3,25.3167,101300518,0
101300505,450312,450300,桂林市,450312,临桂,110.205487,25.246257,57954,57954,广西壮族自治区,110.15,25.2333,110.15,25.2333,101300505,0
101300510,450321,450300,桂林市,450321,阳朔,110.494699,24.77534,59051,59051,广西壮族自治区,110.5,24.7667,110.5,24.7667,101300510,0
101300507,450323,450300,桂林市,450323,灵川,110.325712,25.408541,57956,57956,广西壮族自治区,110.3167,25.4167,110.3167,25.4167,101300507,0
101300508,450324,450300,桂林市,450324,全州,111.072989,25.929897,57960,57960,广西壮族自治区,111.0667,25.9333,111.0667,25.9333,101300508,0
101300506,450325,450300,桂林市,450325,兴安,110.670783,25.609554,57955,57955,广西壮族自治区,110.6667,25.6167,110.6667,25.6167,101300506,0
101300504,450326,450300,桂林市,450326,永福,109.989208,24.986692,57949,57949,广西壮族自治区,110,24.9833,110,24.9833,101300504,0
101300509,450327,450300,桂林市,450327,灌阳,111.160248,25.489098,57964,57964,广西壮族自治区,111.15,25.4833,111.15,25.4833,101300509,0
101300503,450328,450300,桂林市,450328,龙胜,110.009423,25.796428,57942,57942,广西壮族自治区,110,25.8,110,25.8,101300503,0
101300514,450329,450300,桂林市,450329,资源,110.642587,26.0342,57859,57859,广西壮族自治区,110.6333,26.0333,110.6333,26.0333,101300514,0
101300512,450330,450300,桂林市,450330,平乐,110.642821,24.632216,59053,59053,广西壮族自治区,110.6333,24.65,110.6333,24.65,101300512,0
101300511,450332,450300,桂林市,450332,恭城,110.82952,24.833612,59052,59052,广西壮族自治区,110.8167,24.8333,110.8167,24.8333,101300511,0
101300513,450381,450300,桂林市,450381,荔浦,110.400149,24.497786,59055,59055,广西壮族自治区,110.4,24.5,110.4,24.5,101300513,0
101300601,450400,450400,梧州市,450400,梧州,111.297604,23.474803,59265,59265,广西壮族自治区,111.3,23.4833,111.3,23.4833,101300601,1
101300603,450403,450400,梧州市,450403,万秀,111.315817,23.471318,59265,59265,广西壮族自治区,111.3,23.4833,111.3,23.4833,101300603,0
101300607,450405,450400,梧州市,450405,长洲,111.275678,23.4777,59265,59265,广西壮族自治区,111.3,23.4833,111.3,23.4833,101300607,0
101300608,450406,450400,梧州市,450406,龙圩,111.246035,23.40996,59265,59265,广西壮族自治区,111.3,23.4833,111.3,23.4833,101300608,0
101300604,450421,450400,梧州市,450421,苍梧,111.544008,23.845097,59266,59266,广西壮族自治区,111.25,23.3833,111.25,23.3833,101300604,0
101300602,450422,450400,梧州市,450422,藤县,110.931826,23.373963,59256,59256,广西壮族自治区,110.9,23.3667,110.9,23.3667,101300602,0
101300605,450423,450400,梧州市,450423,蒙山,110.5226,24.199829,59058,59058,广西壮族自治区,110.5167,24.2,110.5167,24.2,101300605,0
101300606,450481,450400,梧州市,450481,岑溪,110.998114,22.918406,59454,59454,广西壮族自治区,111,22.95,111,22.95,101300606,0
101301301,450500,450500,北海市,450500,北海,109.119254,21.473343,59644,59644,广西壮族自治区,109.1333,21.45,109.1333,21.45,101301301,1
101301304,450502,450500,北海市,450502,海城区,109.107529,21.468443,59644,59644,广西壮族自治区,109.1333,21.45,109.1333,21.45,101301304,0
101301305,450503,450500,北海市,450503,银海,109.118707,21.444909,59644,59644,广西壮族自治区,109.1333,21.45,109.1333,21.45,101301305,0
101301306,450512,450500,北海市,450512,铁山港,109.450573,21.5928,59644,59644,广西壮族自治区,109.1333,21.45,109.1333,21.45,101301306,0
101301302,450521,450500,北海市,450521,合浦,109.200695,21.663554,59640,59640,广西壮族自治区,109.1833,21.6667,109.1833,21.6667,101301302,0
101301401,450600,450600,防城港市,450600,防城港,108.345478,21.614631,59635,59635,广西壮族自治区,108.35,21.6167,108.35,21.6167,101301401,1
101301404,450602,450600,防城港市,450602,港口区,108.346281,21.614406,59635,59635,广西壮族自治区,108.35,21.6167,108.35,21.6167,101301404,0
101301405,450603,450600,防城港市,450603,防城,108.358426,21.764758,59631,59631,广西壮族自治区,108.35,21.7833,108.35,21.7833,101301405,0
101301402,450621,450600,防城港市,450621,上思,107.982139,22.151423,59429,59429,广西壮族自治区,108.0167,22.1833,108.0167,22.1833,101301402,0
101301403,450681,450600,防城港市,450681,东兴,107.97017,21.541172,59626,59626,广西壮族自治区,107.95,21.5667,107.95,21.5667,101301403,0
101301101,450700,450700,钦州市,450700,钦州,108.624175,21.967127,59632,59632,广西壮族自治区,108.6,21.9833,108.6,21.9833,101301101,1
101301104,450702,450700,钦州市,450702,钦南,108.626629,21.966808,59632,59632,广西壮族自治区,108.6,21.9833,108.6,21.9833,101301104,0
101301105,450703,450700,钦州市,450703,钦北,108.44911,22.132761,59435,59435,广西壮族自治区,108.45,22.6833,108.45,22.6833,101301105,0
101301103,450721,450700,钦州市,450721,灵山,109.293468,22.418041,59446,59446,广西壮族自治区,109.3,22.4167,109.3,22.4167,101301103,0
101301102,450722,450700,钦州市,450722,浦北,109.556341,22.268335,59448,59448,广西壮族自治区,109.55,22.2667,109.55,22.2667,101301102,0
101300801,450800,450800,贵港市,450800,贵港,109.602146,23.0936,59249,59249,广西壮族自治区,109.5667,23.05,109.5667,23.05,101300801,1
101300804,450802,450800,贵港市,450802,港北,109.59481,23.107677,59249,59249,广西壮族自治区,109.5667,23.05,109.5667,23.05,101300804,0
101300805,450803,450800,贵港市,450803,港南,109.604665,23.067516,59249,59249,广西壮族自治区,109.5667,23.05,109.5667,23.05,101300805,0
101300806,450804,450800,贵港市,450804,覃塘,109.415697,23.132815,59249,59249,广西壮族自治区,109.5667,23.05,109.5667,23.05,101300806,0
101300803,450821,450800,贵港市,450821,平南,110.397485,23.544546,59255,59255,广西壮族自治区,110.4167,23.55,110.4167,23.55,101300803,0
101300802,450881,450800,贵港市,450881,桂平,110.074668,23.382473,59254,59254,广西壮族自治区,110.0333,23.3333,110.0333,23.3333,101300802,0
101300901,450900,450900,玉林市,450900,玉林,110.154393,22.63136,59453,59453,广西壮族自治区,110.1167,22.6667,110.1167,22.6667,101300901,1
101300907,450902,450900,玉林市,450902,玉州,110.154912,22.632132,59453,59453,广西壮族自治区,110.1167,22.6667,110.1167,22.6667,101300907,0
101300908,450903,450900,玉林市,450903,福绵,110.054155,22.58163,59453,59453,广西壮族自治区,110.1167,22.6667,110.1167,22.6667,101300908,0
101300904,450921,450900,玉林市,450921,容县,110.552467,22.856435,59452,59452,广西壮族自治区,110.5333,22.8333,110.5333,22.8333,101300904,0
